r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.2000,170.0000, 20.0000,     21.174672,     25.441398,      0.036276
  0.2000,170.0000, 30.0000,     31.557381,     35.078638,      0.036276
  0.2000,170.0000, 40.0000,     41.831139,     44.715878,      0.036276
  0.2000,170.0000, 50.0000,     52.011606,     54.353118,      0.036276
  0.2000,170.0000, 70.0000,     72.141624,     73.627599,      0.036276
  0.2000,170.0000, 90.0000,     92.025657,     92.902079,      0.036276
  0.2000,170.0000,110.0000,    111.718632,    112.176559,      0.036276
  0.2000,170.0000,130.0000,    131.260259,    131.451039,      0.036276
  0.2000,170.0000,150.0000,    150.679955,    150.725520,      0.036276
  0.2000,170.0000,170.0000,    169.999975,    170.000000,      0.036276
  0.3000, 20.0000, 20.0000,     20.000000,     20.000000,      0.081621
  0.3000, 20.0000, 30.0000,     29.036577,     29.183790,      0.081621
  0.3000, 20.0000, 40.0000,     37.881742,     38.367581,      0.081621
  0.3000, 20.0000, 50.0000,     46.621227,     47.551371,      0.081621
  0.3000, 20.0000, 70.0000,     63.928950,     65.918951,      0.081621
  0.3000, 20.0000, 90.0000,     81.115061,     84.286532,      0.081621
  0.3000, 20.0000,110.0000,     98.237022,    102.654113,      0.081621
  0.3000, 20.0000,130.0000,    115.321019,    121.021693,      0.081621
  0.3000, 20.0000,150.0000,    132.380695,    139.389274,      0.081621
  0.3000, 20.0000,170.0000,    149.423853,    157.756854,      0.081621
  0.3000, 30.0000, 20.0000,     20.663600,     20.816210,      0.081621
  0.3000, 30.0000, 30.0000,     30.000000,     30.000000,      0.081621
  0.3000, 30.0000, 40.0000,     39.078224,     39.183790,      0.081621
  0.3000, 30.0000, 50.0000,     48.000896,     48.367581,      0.081621
  0.3000, 30.0000, 70.0000,     65.575099,     66.735161,      0.081621
  0.3000, 30.0000, 90.0000,     82.944322,     85.102742,      0.081621
  0.3000, 30.0000,110.0000,    100.199349,    103.470322,      0.081621
  0.3000, 30.0000,130.0000,    117.384250,    121.837903,      0.081621
  0.3000, 30.0000,150.0000,    134.523005,    140.205483,      0.081621
